merchant,total_spending,transaction_count,average_transaction,largest_transaction,anomaly_count
costco wholesale,3829.45,30,127.65,434.13,2
best buy,2223.72,19,117.04,216.27,0
whole foods,1903.32,24,79.3,137.32,0
amazon marketplace,1425.81,17,83.87,415.78,1
target,1394.23,17,82.01,135.98,0
shoprite,1358.7,17,79.92,122.25,0
etsy,1345.21,20,67.26,143.24,1
amazon,1262.92,17,74.29,118.94,0
mobil,1199.74,16,74.98,407.72,1
ebay commerce,1193.74,15,79.58,127.47,0
trader joes,1137.42,16,71.09,167.99,1
aldi,1001.53,15,66.77,99.64,0
chevron,985.88,17,57.99,74.87,0
kroger,897.7,13,69.05,118.76,0
shell,801.33,14,57.24,73.9,0
speedway,602.41,12,50.2,113.34,1
bp,473.44,9,52.6,74.07,0
mcdonalds,459.58,28,16.41,124.76,1
panera bread,410.3,23,17.84,24.86,0
exxon,389.19,7,55.6,74.97,0
chipotle,339.87,22,15.45,24.66,0
starbucks,332.9,35,9.51,14.2,0
netflix,302.06,11,27.46,109.98,1
taco bell,235.61,18,13.09,34.96,1
max streaming,192.78,11,17.53,24.9,0
hulu,180.23,10,18.02,24.04,0
spotify,179.84,11,16.35,19.64,0
dunkin,163.41,22,7.43,13.61,0
disney plus,140.16,7,20.02,24.83,0
apple music,80.74,7,11.53,18.0,0
