date,description_raw,amount,true_category,true_anomaly,description_clean,merchant,month,day_of_week,day_of_month,category,category_confidence,amount_abs,log_amount,merchant_frequency,merchant_median_amount,merchant_amount_ratio,merchant_high_ratio,merchant_positive_robust_z,is_anomaly_candidate,is_anomaly,anomaly_score,anomaly_reason
2026-02-01,MAX STREAMING,24.9,Entertainment,0,max streaming,max streaming,2,6,1,Entertainment,0.9204,24.9,3.254242968705492,0.022,16.68,1.4928057553956835,1.4928057553956835,1.0229361702763122,False,False,29.6,
2026-02-01,TARGET STORE 1192,84.47,Shopping,0,target store,target,2,6,1,Shopping,0.8032,84.47,4.448165437177926,0.034,84.47,1.0,1.0,0.0,False,False,2.4,
2026-02-03,TACO BELL 3982,17.91,Dining,0,taco bell,taco bell,2,1,3,Dining,0.861,17.91,2.9396908826703663,0.036,12.05,1.4863070539419085,1.4863070539419085,1.700006817433482,False,False,36.5,
2026-02-03,CHEVRON 5812,50.44,Fuel,0,chevron,chevron,2,1,3,Fuel,0.9404,50.44,3.940416079929364,0.034,56.98,0.8852228852228853,1.0,0.0,False,False,0.1,
2026-02-04,SPEEDWAY 8912,29.91,Fuel,0,speedway,speedway,2,2,4,Fuel,0.8361,29.91,3.431079756144025,0.024,44.185,0.6769265587869187,1.0,0.0,False,False,8.4,
2026-02-04,TRADER JOES #551,39.07,Groceries,0,trader joes,trader joes,2,2,4,Groceries,0.8246,39.07,3.6906279246480533,0.032,72.02,0.5424881977228548,1.0,0.0,False,False,2.3,
2026-02-04,DUNKIN 349832,7.99,Dining,0,dunkin,dunkin,2,2,4,Dining,0.8728,7.99,2.196112848483529,0.044,7.555,1.057577763070814,1.057577763070814,0.11619939816725515,False,False,20.8,
2026-02-05,BP GAS STATION 2281,32.23,Fuel,0,bp gas station,bp,2,3,5,Fuel,0.8547,32.23,3.503453082366503,0.018,49.95,0.6452452452452452,1.0,0.0,False,False,15.2,
2026-02-05,TARGET STORE 1192,89.95,Shopping,0,target store,target,2,3,5,Shopping,0.8032,89.95,4.5103099049641315,0.034,84.47,1.0648751035870725,1.0648751035870725,0.10216167390635002,False,False,9.0,
2026-02-05,BP GAS STATION 2281,74.07,Fuel,0,bp gas station,bp,2,3,5,Fuel,0.8547,74.07,4.318421011584911,0.018,49.95,1.4828828828828826,1.4828828828828826,2.557974389713124,True,False,51.7,
2026-02-05,STARBUCKS STORE 12931,14.2,Dining,0,starbucks store,starbucks,2,3,5,Dining,0.8092,14.2,2.7212954278522306,0.07,9.87,1.4387031408308004,1.4387031408308004,1.19205917899333,False,False,44.9,
2026-02-06,CHEVRON 5812,48.06,Fuel,0,chevron,chevron,2,4,6,Fuel,0.9404,48.06,3.893044038830343,0.034,56.98,0.8434538434538436,1.0,0.0,False,False,0.5,
2026-02-07,TRADER JOES #551,70.44,Groceries,0,trader joes,trader joes,2,5,7,Groceries,0.8246,70.44,4.268857936568244,0.032,72.02,0.978061649541794,1.0,0.0,False,False,2.5,
2026-02-07,NETFLIX.COM,16.58,Entertainment,0,netflix com,netflix,2,5,7,Entertainment,0.8948,16.58,2.866761892257031,0.022,19.62,0.8450560652395513,1.0,0.0,False,False,7.6,
2026-02-07,COSTCO WHOLESALE,98.58,Groceries,0,costco wholesale,costco wholesale,2,5,7,Groceries,0.8857,98.58,4.600961341214036,0.06,107.98,0.9129468420077792,1.0,0.0,False,False,17.3,
2026-02-07,SPEEDWAY 8912,25.24,Fuel,0,speedway,speedway,2,5,7,Fuel,0.8361,25.24,3.267284964075888,0.024,44.185,0.5712345818716759,1.0,0.0,False,False,9.0,
2026-02-07,STARBUCKS STORE 12931,10.1,Dining,0,starbucks store,starbucks,2,5,7,Dining,0.8092,10.1,2.4069451083182885,0.07,9.87,1.0233029381965553,1.0233029381965553,0.06331954068555806,False,False,31.9,
2026-02-08,STARBUCKS STORE 12931,12.55,Dining,0,starbucks store,starbucks,2,6,8,Dining,0.8092,12.55,2.60638654732571,0.07,9.87,1.2715298885511652,1.2715298885511652,0.7378103001621538,False,False,34.9,
2026-02-08,BEST BUY 882,123.42,Shopping,0,best buy,best buy,2,6,8,Shopping,0.8555,123.42,4.823662939086874,0.038,117.4,1.0512776831345827,1.0512776831345827,0.08061215747566211,False,False,17.3,
