date,description_raw,amount,true_category,true_anomaly,description_clean,merchant,month,day_of_week,day_of_month,cluster
2026-02-01,MAX STREAMING,24.9,Entertainment,0,max streaming,max streaming,2,6,1,0
2026-02-01,TARGET STORE 1192,84.47,Shopping,0,target store,target,2,6,1,1
2026-02-03,TACO BELL 3982,17.91,Dining,0,taco bell,taco bell,2,1,3,5
2026-02-03,CHEVRON 5812,50.44,Fuel,0,chevron,chevron,2,1,3,3
2026-02-04,SPEEDWAY 8912,29.91,Fuel,0,speedway,speedway,2,2,4,3
2026-02-04,TRADER JOES #551,39.07,Groceries,0,trader joes,trader joes,2,2,4,5
2026-02-04,DUNKIN 349832,7.99,Dining,0,dunkin,dunkin,2,2,4,1
2026-02-05,BP GAS STATION 2281,32.23,Fuel,0,bp gas station,bp,2,3,5,1
2026-02-05,TARGET STORE 1192,89.95,Shopping,0,target store,target,2,3,5,1
2026-02-05,BP GAS STATION 2281,74.07,Fuel,0,bp gas station,bp,2,3,5,1
2026-02-05,STARBUCKS STORE 12931,14.2,Dining,0,starbucks store,starbucks,2,3,5,5
2026-02-06,CHEVRON 5812,48.06,Fuel,0,chevron,chevron,2,4,6,3
2026-02-07,TRADER JOES #551,70.44,Groceries,0,trader joes,trader joes,2,5,7,5
2026-02-07,NETFLIX.COM,16.58,Entertainment,0,netflix com,netflix,2,5,7,0
2026-02-07,COSTCO WHOLESALE,98.58,Groceries,0,costco wholesale,costco wholesale,2,5,7,2
2026-02-07,SPEEDWAY 8912,25.24,Fuel,0,speedway,speedway,2,5,7,3
2026-02-07,STARBUCKS STORE 12931,10.1,Dining,0,starbucks store,starbucks,2,5,7,5
2026-02-08,STARBUCKS STORE 12931,12.55,Dining,0,starbucks store,starbucks,2,6,8,5
2026-02-08,BEST BUY 882,123.42,Shopping,0,best buy,best buy,2,6,8,2
2026-02-08,KROGER #912,79.4,Groceries,0,kroger,kroger,2,6,8,5
2026-02-08,NETFLIX.COM,19.62,Entertainment,0,netflix com,netflix,2,6,8,0
2026-02-08,BEST BUY 882,61.74,Shopping,0,best buy,best buy,2,6,8,2
2026-02-09,WHOLE FOODS MARKET,71.1,Groceries,0,whole foods market,whole foods,2,0,9,5
2026-02-09,DUNKIN 349832,4.69,Dining,0,dunkin,dunkin,2,0,9,1
2026-02-09,COSTCO WHOLESALE,359.85,Groceries,1,costco wholesale,costco wholesale,2,0,9,2
2026-02-09,DUNKIN 349832,7.79,Dining,0,dunkin,dunkin,2,0,9,1
2026-02-10,PANERA BREAD 2918,18.11,Dining,0,panera bread,panera bread,2,1,10,5
2026-02-10,WHOLE FOODS MARKET,69.31,Groceries,0,whole foods market,whole foods,2,1,10,5
2026-02-10,WHOLE FOODS MARKET,103.95,Groceries,0,whole foods market,whole foods,2,1,10,5
2026-02-10,DUNKIN 349832,3.01,Dining,0,dunkin,dunkin,2,1,10,1
2026-02-10,DISNEY PLUS,19.24,Entertainment,0,disney plus,disney plus,2,1,10,0
2026-02-11,STARBUCKS STORE 12931,13.18,Dining,0,starbucks store,starbucks,2,2,11,5
2026-02-12,TACO BELL 3982,10.96,Dining,0,taco bell,taco bell,2,3,12,5
2026-02-12,DUNKIN 349832,8.01,Dining,0,dunkin,dunkin,2,3,12,1
2026-02-12,SPEEDWAY 8912,113.34,Fuel,1,speedway,speedway,2,3,12,3
2026-02-13,BEST BUY 882,51.69,Shopping,0,best buy,best buy,2,4,13,2
2026-02-15,AMAZON MARKETPLACE,415.78,Shopping,1,amazon marketplace,amazon marketplace,2,6,15,2
2026-02-15,WHOLE FOODS MARKET,113.09,Groceries,0,whole foods market,whole foods,2,6,15,5
2026-02-15,EXXON 57291,51.9,Fuel,0,exxon,exxon,2,6,15,3
2026-02-15,KROGER #912,32.98,Groceries,0,kroger,kroger,2,6,15,5
2026-02-16,COSTCO WHOLESALE,56.52,Groceries,0,costco wholesale,costco wholesale,2,0,16,2
2026-02-17,SHELL OIL 88321,73.9,Fuel,0,shell oil,shell,2,1,17,1
2026-02-17,CHIPOTLE 1432,20.28,Dining,0,chipotle,chipotle,2,1,17,5
2026-02-17,SHOPRITE #441,42.36,Groceries,0,shoprite,shoprite,2,1,17,1
2026-02-17,COSTCO WHOLESALE,164.55,Groceries,0,costco wholesale,costco wholesale,2,1,17,2
2026-02-17,CHEVRON 5812,70.37,Fuel,0,chevron,chevron,2,1,17,3
2026-02-17,MCDONALDS F3812,8.57,Dining,0,mcdonalds f,mcdonalds,2,1,17,5
2026-02-18,CHEVRON 5812,39.2,Fuel,0,chevron,chevron,2,2,18,3
2026-02-18,SHOPRITE #441,104.15,Groceries,0,shoprite,shoprite,2,2,18,1
2026-02-18,COSTCO WHOLESALE,144.55,Groceries,0,costco wholesale,costco wholesale,2,2,18,2
2026-02-18,NETFLIX.COM,21.16,Entertainment,0,netflix com,netflix,2,2,18,0
2026-02-19,APPLE MUSIC,18.0,Entertainment,0,apple music,apple music,2,3,19,4
2026-02-19,ETSY.COM,13.7,Shopping,0,etsy com,etsy,2,3,19,2
2026-02-20,CHEVRON 5812,74.87,Fuel,0,chevron,chevron,2,4,20,3
2026-02-20,SHELL OIL 88321,71.22,Fuel,0,shell oil,shell,2,4,20,1
2026-02-20,APPLE MUSIC,9.68,Entertainment,0,apple music,apple music,2,4,20,4
2026-02-20,SPOTIFY USA,16.72,Entertainment,0,spotify usa,spotify,2,4,20,4
2026-02-20,COSTCO WHOLESALE,75.34,Groceries,0,costco wholesale,costco wholesale,2,4,20,2
2026-02-21,AMZN MKTP US,90.57,Shopping,0,amzn mktp us,amazon,2,5,21,2
2026-02-21,CHIPOTLE 1432,18.53,Dining,0,chipotle,chipotle,2,5,21,5
2026-02-21,MCDONALDS F3812,6.3,Dining,0,mcdonalds f,mcdonalds,2,5,21,5
2026-02-22,TARGET STORE 1192,135.98,Shopping,0,target store,target,2,6,22,1
2026-02-22,EBAY COMMERCE,26.39,Shopping,0,ebay commerce,ebay commerce,2,6,22,2
2026-02-22,SHOPRITE #441,47.74,Groceries,0,shoprite,shoprite,2,6,22,1
2026-02-22,SPEEDWAY 8912,47.78,Fuel,0,speedway,speedway,2,6,22,3
2026-02-22,NETFLIX.COM,20.88,Entertainment,0,netflix com,netflix,2,6,22,0
2026-02-22,TARGET STORE 1192,129.82,Shopping,0,target store,target,2,6,22,1
2026-02-23,BEST BUY 882,203.03,Shopping,0,best buy,best buy,2,0,23,2
2026-02-23,CHIPOTLE 1432,16.58,Dining,0,chipotle,chipotle,2,0,23,5
2026-02-23,HULU,23.46,Entertainment,0,hulu,hulu,2,0,23,0
2026-02-23,WHOLE FOODS MARKET,40.09,Groceries,0,whole foods market,whole foods,2,0,23,5
2026-02-23,MCDONALDS F3812,18.99,Dining,0,mcdonalds f,mcdonalds,2,0,23,5
2026-02-24,EBAY COMMERCE,96.01,Shopping,0,ebay commerce,ebay commerce,2,1,24,2
2026-02-24,SHELL OIL 88321,42.38,Fuel,0,shell oil,shell,2,1,24,1
2026-02-25,ALDI #128,65.99,Groceries,0,aldi,aldi,2,2,25,3
2026-02-25,STARBUCKS STORE 12931,14.11,Dining,0,starbucks store,starbucks,2,2,25,5
2026-02-25,MOBIL 29182,54.12,Fuel,0,mobil,mobil,2,2,25,3
2026-02-25,ETSY.COM,96.3,Shopping,0,etsy com,etsy,2,2,25,2
2026-02-26,BEST BUY 882,123.1,Shopping,0,best buy,best buy,2,3,26,2
2026-02-26,AMAZON MARKETPLACE,106.7,Shopping,0,amazon marketplace,amazon marketplace,2,3,26,2
2026-02-26,CHEVRON 5812,39.0,Fuel,0,chevron,chevron,2,3,26,3
2026-02-26,PANERA BREAD 2918,19.78,Dining,0,panera bread,panera bread,2,3,26,5
2026-02-26,NETFLIX.COM,16.15,Entertainment,0,netflix com,netflix,2,3,26,0
2026-02-27,ALDI #128,28.27,Groceries,0,aldi,aldi,2,4,27,3
2026-02-28,DUNKIN 349832,10.51,Dining,0,dunkin,dunkin,2,5,28,1
2026-02-28,MCDONALDS F3812,14.85,Dining,0,mcdonalds f,mcdonalds,2,5,28,5
2026-02-28,STARBUCKS STORE 12931,9.87,Dining,0,starbucks store,starbucks,2,5,28,5
2026-03-02,BEST BUY 882,85.49,Shopping,0,best buy,best buy,3,0,2,2
2026-03-02,AMZN MKTP US,70.99,Shopping,0,amzn mktp us,amazon,3,0,2,2
2026-03-02,PANERA BREAD 2918,22.22,Dining,0,panera bread,panera bread,3,0,2,5
2026-03-02,STARBUCKS STORE 12931,11.95,Dining,0,starbucks store,starbucks,3,0,2,5
2026-03-02,KROGER #912,80.1,Groceries,0,kroger,kroger,3,0,2,5
2026-03-03,MAX STREAMING,23.88,Entertainment,0,max streaming,max streaming,3,1,3,0
2026-03-03,BEST BUY 882,21.73,Shopping,0,best buy,best buy,3,1,3,2
2026-03-04,BEST BUY 882,117.4,Shopping,0,best buy,best buy,3,2,4,2
2026-03-04,ALDI #128,74.25,Groceries,0,aldi,aldi,3,2,4,3
2026-03-04,HULU,15.08,Entertainment,0,hulu,hulu,3,2,4,0
